   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
   16    1    0    1   12 4.93 5.03    0    0     0     1     0
    2    1    1    1   12 4.96 5.95    0    0     1     0     0
   23    1    1    1   12 4.54 4.92    0    0     0     0     0
   11    0    1    1   10 4.29 4.45    0    0     0     0     0
   14    1    0    1   12 4.60 4.93    0    1     0     0     0
   31    0    1    1   12 4.99 5.28    0    1     0     0     0
   12    1    1    1   12 4.79 5.18    0    1     0     0     0
   20    1    0    1   11 4.96 5.60    0    0     0     1     0
    6    1    0    1   11 4.88 4.98    1    0     0     0     0
   39    0    0    1   12 3.89 4.21    0    1     0     0     0
   20    1    1    1   12 4.87 5.22    0    0     1     0     0
   27    1    1    1   12 4.99 5.49    0    0     1     0     0
    4    1    0    1   12 4.87 5.46    0    1     0     0     0
   20    1    1    1   12 4.83 5.01    0    1     0     0     0
   26    0    1    1   10 4.58 4.76    0    0     0     1     0
   21    1    1    1   13 4.87 5.32    1    0     0     0     0
    6    1    1    1    7 4.46 4.72    0    0     1     0     0
    8    1    1    1   12 4.72 4.94    0    0     1     0     0
   13    0    1    1   11 4.22 4.25    0    1     0     0     0
    9    1    1    1   12 4.52 5.30    0    0     0     1     0
    4    1    0    1   12 4.52 5.02    0    0     1     0     0
   39    0    1    1   12 4.82 5.21    0    1     0     0     0
   26    0    1    0   12 4.34 4.69    0    1     0     0     0
    7    1    1    1   12 4.99 5.93    0    0     1     0     0
    8    1    1    1   12 4.49 4.68    1    0     0     0     0
   22    1    0    1   12 4.41 4.75    1    0     0     0     0
   18    1    1    0   11 4.35 4.86    0    0     1     0     0
    5    1    1    1   12 4.49 4.92    0    0     1     0     0
   32    1    0    1   10 4.79 5.21    1    0     0     0     0
    4    1    0    1   12 4.70 5.07    1    0     0     0     0
    7    1    1    1   12 4.52 4.62    1    0     0     0     0
   24    0    0    0   12 3.67 3.82    1    0     0     0     0
   16    1    0    0   12 4.84 4.99    0    1     0     0     0
   18    1    1    1   11 4.87 5.61    0    0     1     0     0
    1    1    1    1   12 4.73 5.09    0    1     0     0     0
    7    1    0    0   12 4.61 5.14    1    0     0     0     0
   28    0    1    0   12 4.99 5.28    0    0     0     1     0
    2    1    0    1   12 4.46 4.91    0    1     0     0     0
   11    1    1    1   12 4.65 4.77    0    1     0     0     0
   14    0    0    1   12 4.81 5.02    0    1     0     0     0
   14    1    0    0   15 4.66 4.93    0    1     0     0     0
   21    1    1    0   14 4.99 5.42    0    1     0     0     0
   13    1    1    1   12 4.54 5.21    0    0     0     0     0
    3    1    0    1   12 4.77 5.07    0    0     0     0     0
    8    1    0    0   11 3.90 4.21    0    1     0     0     0
   39    0    1    0   12 4.58 5.52    0    0     1     0     0
   23    0    1    1   16 4.73 4.99    0    0     1     0     0
   23    1    0    1   13 4.67 4.79    0    0     1     0     0
   10    1    1    0    3 4.88 5.17    0    0     0     0     0
    9    0    1    1   11 4.44 4.96    0    0     0     1     0
   25    1    0    1   12 4.61 4.97    0    1     0     0     0
    6    0    0    0   12 3.00 3.32    0    1     0     0     0
   34    1    1    1   15 4.87 5.51    0    0     1     0     0
   12    1    1    1   12 4.91 5.05    0    1     0     0     0
   11    0    1    1   12 4.66 5.16    0    1     0     0     0
    5    1    1    1    8 4.99 5.78    0    1     0     0     0
   26    1    1    1   12 4.29 4.61    0    1     0     0     0
   25    1    1    0   10 4.61 5.30    0    0     0     1     0
   11    1    1    1   10 4.46 5.30    0    0     0     0     0
   23    1    1    1   11 4.99 5.52    0    0     1     0     0
