pay     market.val   log.pay      val.decile
   3097086     432.836   14.94597          3
   1322876     432.988   14.09532          3
   1170360     433.917   13.97282          3
    378437     435.489   12.84381          3
   8683216     436.884    15.9769          3
  13146144     437.963   16.39164          3
   1334967     438.438   14.10442          3
   2859289     440.734   14.86608          3
    988639     441.184   13.80408          3
   1073626      442.01   13.88655          3
   5596775     442.415    15.5377          3
   2301033     443.041   14.64887          3
   1722259     446.343   14.35915          3
   1698592     446.633   14.34531          3
   1465406     447.209   14.19764          3
    234889     448.178   12.36687          3
    463445     448.215   13.04644          3
    824696      448.42   13.62277          3
   6759539      449.95   15.72647          3
   2869319     450.913   14.86959          3
    253960     451.248   12.44493          3
   2370652     451.739   14.67868          3
   2299225     453.798   14.64808          3
   8089318     454.817   15.90606          3
    643283     455.653   13.37434          3
    639308     456.479   13.36814          3
    773398     456.509   13.55855          3
   3497203     458.302   15.06747          3
    463725     458.439   13.04705          3
   5115442      458.72   15.44777          3
    902087     460.088   13.71247          3
   6006857     460.739   15.60841          3
   1093721     461.299    13.9051          3
   2299216     462.681   14.64808          3
   1636610     463.152   14.30814          3
   3395710     463.274   15.03802          3
    987049     463.751   13.80247          3
   3543370     467.027   15.08059          3
   1142429     469.445   13.94867          3
   1239371     472.238   14.03011          3
   3163452     473.199   14.96717          3
   2332299     473.807   14.66236          3
    500063     474.202   13.12249          3
   3252613     478.413   14.99497          3
   1775180     481.557   14.38941          3
   1370072     481.973   14.13037          3
   1788646     482.381   14.39697          3
   2858435      489.81   14.86578          3
    966021     491.448   13.78094          3
   2400013     491.796   14.69098          3
   5703127     492.123   15.55653          3
   1057361     492.921   13.87129          3
    791788     493.386   13.58205          3
   1917592      494.53   14.46658          3
   1406161     497.752   14.15637          3
   1924056     498.339   14.46995          3
   1880801     498.764   14.44721          3
   4396802     499.898   15.29639          3
   1368962     499.937   14.12956          3
   1542994     500.669   14.24924          3
   1837737     500.939   14.42405          3
    279199     501.444   12.53968          3
    434360     502.742   12.98163          3
    630574     504.545   13.35439          3
   5761629     504.679   15.56673          3
    270800     507.029   12.50914          3
   1023455     507.407   13.83869          3
   2176464     508.398   14.59321          3
   5199702     510.309   15.46411          3
    874627     510.697   13.68155          3
    218758     510.875   12.29572          3
   2699266     511.744   14.80849          3
   1922580     511.938   14.46918          3
   3262043     512.123   14.99786          3
   2692555     515.452     14.806          3
    594624     515.922   13.29568          3
   4813600     516.538   15.38696          3
    807066     518.974   13.60116          3
   2341810      519.26   14.66643          3
    769930     519.275   13.55406          3
    627239     519.704   13.34908          3
    486588     521.966   13.09517          3
   1576002     523.817    14.2704          3
   1310645     524.459   14.08603          3
   3621921     524.529   15.10252          3
   1691338     525.831   14.34103          3
   4623045         528   15.34656          3
   1184206     530.856   13.98458          3
   1590297     531.469   14.27943          3
    986465      532.56   13.80188          3
   1705774      533.75   14.34953          3
   1077679     533.793   13.89032          3
   3472674     534.232   15.06044          3
   1101573     534.967   13.91225          3
   1791747     535.437    14.3987          3
 3176495.7     536.226   14.97129          3
    943625     537.316   13.75748          3
    855640     537.351   13.65961          3
   2008779     538.128   14.51304          3
   1178144     538.656   13.97945          3
   1145846     540.041   13.95165          3
   1520081     540.138   14.23427          3
   2096839     540.202   14.55594          3
    863390     540.313   13.66862          3
   2446376     541.128   14.71012          3
   3856881     541.742   15.16537          3
   2256996      544.73   14.62955          3
   1145716     547.314   13.95154          3
   4962189     549.358   15.41736          3
   6207812     549.634   15.64132          3
   3359829     550.334    15.0274          3
    612704     550.468   13.32564          3
   1808763     551.038   14.40815          3
   1520421      553.55    14.2345          3
    691599     555.112   13.44676          3
   1071245     555.962   13.88433          3
    366669     556.446   12.81221          3
    333400     557.088    12.7171          3
   1175250      558.41   13.97699          3
   1432129     558.533   14.17467          3
    782104      558.92   13.56974          3
   2057120     559.391   14.53682          3
   2384444     566.392   14.68448          3
    369597     567.595   12.82017          3
    558540     568.252   13.23308          3
    972868     568.599     13.788          3
    822065     569.074   13.61957          3
   1938789     569.829   14.47757          3
   2095210     569.896   14.55516          3
    467890     570.304   13.05599          3
   1654969     571.065   14.31929          3
   1853538     573.812   14.43261          3
   1223582     575.421   14.01729          3
    717356     577.983   13.48333          3
   1831191     579.173   14.42048          3
    540000     579.302   13.19932          3
   2000628     582.245   14.50897          3
   6615375      583.11   15.70491          3
   1827129     583.124   14.41826          3
   1931760     583.792   14.47394          3
   1791846     585.551   14.39876          3
    684718     587.724   13.43676          3
    472564     587.826   13.06593          4
   1730131     588.661   14.36371          4
   6721978     588.737   15.72089          4
   4011457     588.972   15.20467          4
    496925     590.184   13.11619          4
    896945     590.549   13.70675          4
   4758982     595.515   15.37554          4
    376000     596.086   12.83734          4
    772079     597.587   13.55684          4
    255028     599.529   12.44913          4
   1017048     600.962   13.83241          4
   4466728     601.439   15.31217          4
    100000     602.177   11.51293          4
    913655     603.511   13.72521          4
   3766965      604.38   15.14178          4
   1636345     604.456   14.30798          4
   1826326     609.279   14.41782          4
   7825051      610.26   15.87284          4
   1401038      610.65   14.15272          4
    795266     611.712   13.58643          4
   3287799     613.782   15.00573          4
    912453     615.186   13.72389          4
   2281096     616.608   14.64017          4
   1014577     618.078   13.82998          4
   2098516     618.426   14.55674          4
   1209162      626.85   14.00544          4
    350000     628.279   12.76569          4
  14853631      628.54   16.51376          4
   2449955     634.028   14.71158          4
   1263362     636.021   14.04929          4
   3262003       637.1   14.99785          4
   5969383     637.945   15.60215          4
   7221362     639.266   15.79255          4
    340905     641.387   12.73936          4
    526576      644.28   13.17415          4
    951958     645.105   13.76628          4
    338186      653.22   12.73135          4
    306000       653.4   12.63134          4
   1267625     653.643   14.05266          4
  44032697     655.355   17.60044          4
    658311     655.593   13.39743          4
    637850     661.752   13.36586          4
    886154     663.797   13.69465          4
    390657     664.096   12.87559          4
   1277344     665.161   14.06029          4
   1781674     665.623   14.39306          4
   1125999     668.088   13.93418          4
   5754274     668.566   15.56545          4
   2085880     670.607    14.5507          4
   3067388      672.06   14.93634          4
    332704     678.339   12.71501          4
    867768     678.567   13.67368          4
   3868679     682.556   15.16842          4
   3087159     685.859   14.94276          4
   3191795     688.697   14.97609          4
   5806497     689.309   15.57449          4
   2286383     691.754   14.64248          4
   1464290     692.049   14.19688          4
   1315633     692.739   14.08983          4
   3434369     694.237   15.04934          4
   4129409      696.08   15.23364          4
   1100052     696.492   13.91087          4
    917234      703.99   13.72912          4
   2494535     704.012   14.72961          4
   1095889     707.493   13.90708          4
   2864807     707.669   14.86801          4
   3330144     708.818   15.01853          4
   3207801     709.285    14.9811          4
   1034622      709.64   13.84955          4
   3648744     711.533   15.10989          4
   1385040     712.655   14.14124          4
   1039799      715.09   13.85454          4
   2409050     717.334   14.69474          4
   1055324     719.535   13.86936          4
    340772     721.063   12.73897          4
    972274     722.487   13.78739          4
   2016560     723.718    14.5169          4
   1949601     723.837   14.48314          4
   1795863     724.913     14.401          4
   1980732     725.255   14.49898          4
   3421480     727.298   15.04558          4
   1205884     728.607   14.00272          4
    847691     730.294   13.65027          4
    748845     732.424   13.52629          4
   1250896     735.183   14.03937          4
    504266      737.41   13.13086          4
    805437      739.06   13.59914          4
   1263754     740.683    14.0496          4
   2939217     740.932   14.89365          4
    262512      741.11   12.47805          4
    785446     741.443   13.57401          4
   2798287     749.093   14.84452          4
   1352046     751.824   14.11713          4
    959417     752.765   13.77408          4
   2399789     753.858   14.69089          4
   2262229     754.296   14.63186          4
   3118291      757.91    14.9528          4
    929820     761.167   13.74275          4
   2229614     763.145   14.61734          4
   1015703     764.562   13.83109          4
   1661861      765.18   14.32345          4
   1037836     765.406   13.85265          4
   3002171     769.182   14.91485          4
   1502923     770.036   14.22292          4
   2311067     773.718   14.65322          4
    982414     779.131   13.79777          4
   1831164     779.667   14.42046          4
   3231466     781.308   14.98845          4
   2284292     784.612   14.64157          4
   1209136     788.925   14.00542          4
    765001     789.642   13.54763          4
   1288563      791.14   14.06904          4
   5160959     797.267   15.45663          4
   3332001     797.578   15.01908          4
   1522546     800.636   14.23589          4
   1526460     803.357   14.23846          4
   1278477     805.273   14.06118          4
    434956     809.316     12.983          4
   1634905     810.173    14.3071          4
   1278300     811.254   14.06104          4
   1347397     812.286   14.11369          4
   2273919      813.89   14.63702          4
   2355170     814.333   14.67212          4
   1706687     816.986   14.35006          4
   2592548     819.418   14.76815          4
   2102567     820.379   14.55867          4
   2114214     821.013   14.56419          4
   4906689     824.652   15.40611          4
   7190508     825.343   15.78827          4
   3337886      826.75   15.02085          4
    623841     828.265   13.34365          4
   2651387     833.773   14.79059          4
   2129734     835.346   14.57151          4
   2008102     836.638    14.5127          4
   6729332     836.735   15.72199          4
   4853849     839.316   15.39528          4
   1038063     840.698   13.85287          4
   1391165     840.939   14.14565          4
   1375735     844.861    14.1345          4
    757903     846.777   13.53831          4
   7785062     847.369   15.86772          4
   1292161     847.829   14.07183          4
    975639     848.477   13.79085          4
   2727741     848.489   14.81898          4
   1262210     849.647   14.04838          4
    870314     851.167   13.67661          4
   1035755     861.494   13.85064          4
    392992     863.062   12.88154          4
    807020     864.844    13.6011          4
   2267895     868.001   14.63436          4
   2662589     878.192   14.79481          4
   2644309     882.256   14.78792          4
   1947104     883.584   14.48185          4
   3236164         886    14.9899          4
    867028     886.486   13.67283          4
   1865405     886.748   14.43899          4
   4557781     886.838   15.33235          4
   1510958     886.992   14.22825          4
   1533066      891.31   14.24278          4
   2290815     892.768   14.64442          4
   2416554     893.664   14.69785          4
   1218910     896.839   14.01347          4
   1960546     898.975   14.48873          4
    951897     899.246   13.76621          4
   3133409     899.506   14.95763          4
   1752203     900.042   14.37638          4
   2770831     901.334   14.83466          5
    771484     903.455   13.55607          5
    763093     903.717   13.54514          5
   5207145     904.409   15.46554          5
   3685264      907.25   15.11985          5
   2614018     907.319    14.7764          5
   1170822     909.155   13.97322          5
   1619835     909.389   14.29783          5
   2582340     909.624   14.76421          5
   1413478       910.6   14.16156          5
   1617377     911.158   14.29632          5
    463292     911.324   13.04611          5
   1755197     912.604   14.37809          5
  21290631     914.218   16.87378          5
   2361386      915.88   14.67476          5
   4099820     917.962   15.22645          5
   3255653     919.111    14.9959          5
   5971477     924.226    15.6025          5
   2379635     927.686   14.68246          5
   1015814     927.875    13.8312          5
   1225170      930.15   14.01859          5
   1587875     932.077   14.27791          5
   1097124     933.763    13.9082          5
    713343     933.992   13.47772          5
    845169     934.492   13.64729          5
   1090587     934.957   13.90223          5
   1463792     937.915   14.19654          5
   2081350     941.911   14.54853          5
   2104828     942.907   14.55974          5
    630029     943.319   13.35352          5
   2747800     944.742   14.82631          5
   2668641     952.435   14.79708          5
   2110399     954.527   14.56239          5
   1077118      955.39    13.8898          5
   4460163      957.03    15.3107          5
   1000000     958.744   13.81551          5
    175000     958.889   12.07254          5
   1748374     959.319    14.3742          5
   1781448     959.384   14.39294          5
    942860     962.114   13.75667          5
   1189395     965.053   13.98896          5
   2238764     967.796   14.62143          5
   1729314     970.103   14.36324          5
   3673672     970.503    15.1167          5
   3002946     970.908    14.9151          5
   5049802      973.44   15.43486          5
   2211189     973.822   14.60904          5
   3038735      976.73   14.92695          5
  13730652     981.045   16.43514          5
   2549434     983.929   14.75138          5
    315532     995.309   12.66201          5
    576218    1000.076   13.26424          5
   1414585     1001.44   14.16235          5
   2296252    1002.176   14.64679          5
   1798830    1003.069   14.40265          5
   2054703    1005.557   14.53564          5
    615336    1008.453   13.32992          5
    836027    1014.377   13.63642          5
   1478538    1026.256   14.20656          5
   1620679    1026.372   14.29836          5
   1558272    1026.404   14.25909          5
   2224861    1031.718    14.6152          5
   1193212    1036.989   13.99216          5
   4385115     1037.19   15.29373          5
   3259839    1037.198   14.99719          5
   3191361    1037.508   14.97596          5
    769969    1038.306   13.55411          5
  17631877    1038.473   16.68522          5
   1568270    1039.779   14.26548          5
   5339841    1040.238   15.49071          5
   3355389    1046.358   15.02608          5
   4965809    1052.577   15.41809          5
   1228850    1053.713   14.02159          5
   2229568     1055.82   14.61732          5
  10416297    1058.298   16.15888          5
   1822002     1062.74   14.41545          5
  21244658    1066.703   16.87162          5
   1311778     1068.21   14.08689          5
   2276922     1071.07   14.63834          5
    401723    1074.578   12.90352          5
    936464    1075.055   13.74987          5
   2506074    1077.857   14.73423          5
    532938    1082.255   13.18616          5
   2162025    1082.322   14.58656          5
   1412400    1084.608    14.1608          5
   4690841     1086.14   15.36112          5
   3221945    1088.831    14.9855          5
   1110961    1089.494   13.92074          5
    857868    1091.428   13.66221          5
   3772408    1091.499   15.14322          5
   1119564    1092.178   13.92845          5
  13682689    1095.432   16.43164          5
   1392315    1097.578   14.14648          5
   2626709    1101.061   14.78124          5
   4887653    1103.472   15.40222          5
   2044117    1107.919   14.53048          5
    944386      1108.8   13.75829          5
   1773423     1112.97   14.38842          5
  11580441    1114.332   16.26483          5
    539200    1116.411   13.19784          5
    906965    1125.526   13.71786          5
   2666031      1126.9    14.7961          5
    825763    1127.225   13.62406          5
   1547263    1131.869     14.252          5
   8737957    1141.655   15.98319          5
   2465434    1145.325   14.71788          5
   1845649     1146.24   14.42834          5
   2250000    1151.141   14.62644          5
    600000    1152.628   13.30468          5
   2131592    1154.699   14.57238          5
   1990957    1155.334   14.50413          5
   4948937    1160.537   15.41468          5
   3236141    1163.781   14.98989          5
   3671212    1165.873   15.11603          5
   8380608    1169.565   15.94143          5
   2734053    1174.044    14.8213          5
    498101    1177.015   13.11856          5
   5232144    1177.242   15.47033          5
   9419580    1178.403    16.0583          5
   1432406    1190.451   14.17487          5
    866800    1192.695   13.67256          5
   2142901    1193.701   14.57767          5
   1489187    1194.007   14.21374          5
   9477556    1202.813   16.06444          5
   2781375    1205.469   14.83846          5
   1323329    1206.281   14.09566          5
   3136674    1208.636   14.95867          5
   1687711    1210.309   14.33888          5
   7751871      1211.1   15.86344          5
   1317220     1211.59   14.09103          5
    568971    1216.143   13.25159          5
   1198347    1221.285   13.99645          5
   1954870    1222.931   14.48583          5
   1239311    1223.737   14.03007          5
    901500    1233.873   13.71181          5
   1438064    1240.707   14.17881          5
    425583    1243.245   12.96122          5
   1797222    1244.943   14.40175          5
   2244153      1247.4   14.62384          5
   3406357     1248.19   15.04115          5
   1925922    1248.506   14.47092          5
   1361360    1248.787   14.12399          5
   1872735    1250.724   14.44291          5
   1277755    1256.133   14.06062          5
    428158    1257.532   12.96725          5
    923146     1257.67   13.73554          5
    537095    1260.634   13.19393          5
   2364470    1260.764   14.67606          5
    957620    1265.395   13.77221          5
   1246323    1265.814   14.03571          5
   1218000    1266.485   14.01272          5
   1141660    1267.876   13.94799          5
  12342783    1270.316   16.32858          5
   1769184    1272.286   14.38603          5
   6056456    1276.675   15.61664          5
   8091830    1280.755   15.90637          5
   1614798     1286.94   14.29472          5
   3586669    1288.664   15.09273          5
   4898417    1291.166   15.40442          5
   1225790    1292.876    14.0191          5
   3807865    1295.008   15.15258          5
   2195230    1297.571    14.6018          5
   3149895    1302.189   14.96288          5
   6013056     1311.18   15.60944          5
    988462    1318.751   13.80391          5
   2284871    1320.053   14.64182          5
   1858763    1324.087   14.43542          5
   1439792    1326.566   14.18001          6
   1403534    1330.132    14.1545          6
    764639    1330.255   13.54716          6
   1901944     1339.36   14.45839          6
   2284241      1339.8   14.64154          6
